"arquivo","classe","path_base","metodo_http","path_metodo"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/actuator/health"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/api/auth/**"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/assets/**"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/cadastrar-produto"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/cadastro"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/carrinho"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/categorias"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/chat"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/conta"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/css/**"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/error"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/favicon.ico"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/home"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/img/**"
"C:\Users\mateu\Documents\GitHub\CAMPUSHOP\src\main\java\br\com\campushop\campushop_backend\config\SecurityConfig.java","SecurityConfig","(security permitAll)","ALL","/index.html"
